REF;Marca;Nome do Produto;Linha;Valor;Descrição Geral;;Modo de Uso;Composição;Link do Produto;Valor promocional;Tags;Conteúdo da Embalagen;Ingredientes Ativos
KITLUMICOAT;Keune;Kit Lumi Coat;any;668;O Kit contém:1 un. Lumi Coatspray inovador e luminoso que aumenta instantaneamente o brilho e adiciona hidratação leve. A tecnologia de vedação de fibra adiciona uma camada protetora para ajudar a proteger o cabelo de mais danos.1 un. Care Satin Oil Shampoo 300mlUm Shampoo suave para cabelos secos, porosos e sem brilho que limpa e hidrata os fios, deixando-os aveludados.1 un. Care Satin Oil Conditioner 250mlCondicionador para cabelos secos e sem vida que trata e protege os fios de danos naturais e químicos.;'0;"Lumi Coat
Conheça os benefícios do Lumi Coat.
Lumi Coat é um spray inovador que aumenta instantaneamente o brilho e adiciona hidratação sem peso ao cabelo. A tecnologia de vedação de fibra desenvolvida em laboratório suaviza o folículo capilar, resultando em um cabelo incrivelmente sedoso. Lumi Coat adiciona uma camada protetora para ajudar a proteger o cabelo de danos posteriores. Efeito condicionador de longa duração.



Care Satin Oil Shampoo
Ideal para cabelos secos, porosos e sem brilho, o Care Satin Oil Shampoo limpa e confere maciez e luminosidade aos fios, hidratando-os e deixando-os aveludados. Sua fórmula, enriquecida com óleos especiais de monoi, baobá e maracujá, age de dentro para fora, refletindo o brilho de cabelo saudável.
Care Satin Oil Conditioner
Fundamental para melhorar o aspecto dos fios capilares, o Care Saint Oil Conditioner trata e protege os cabelos da
poluição, do sol, do vento e da química que, em excesso, prejudicam a saúde dos cabelos. O condicionador trata cabelos opacos e ressecados, deixando-os mais macios e brilhantes.
";Aqua (Water), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Decyl Glucoside, PEG-200 Hydrogenated Glyceryl Palmate, Glycol Distearate, PEG-40 Hydrogenated Castor Oil, Glyceryl Laurate, Sodium Chloride, Cetrimonium Chloride, Sodium Benzoate, Citric Acid, PEG-7 Glyceryl Cocoate, Cocamide MEA, Propylene Glycol, Methoxy PEG/PPG-7/3 Aminopropyl Dimethicone, Polyquaternium-10, Panthenol, Laureth-2, Polyquaternium-7, Parfum (Fragrance), Laureth-10, Cocos Nucifera (Coconut) Oil, Formic Acid, Hydrolyzed Wheat Protein, Passiflora Incarnata (Seed) Oil, Saccharomyces/Magnesium Ferment, Gardenia Tahitensis Flower Extract, Adansonia Digitata (Seed) Oil, Saccharomyces/Iron Ferment, CI 19140 (Yellow 5), Saccharomyces/Zinc Ferment, Tocopherol, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment, CI 14700 (Red 4).;https://www.keune.com.br/produto/kit-lumi-coat-335;501;Os Melhores Kits Keune, Tratamento Reconstrutor;any;Ingredientes ativos - Care Satin Oil Shampoo 300mlMinerais essenciais: nutrem, mantêm a umidade e proporcionam brilho e flexibilidade.Óleo de maracujá: alta hidratação e reestruturação ao fio devido à presença do Ômega 6 (ácido linoleico) em sua composição.Óleo de manoi: rico em ácidos graxos, como Ômega 3 e 6, proporciona hidratação duradoura, reparação e reestruturação em cabelos secos e danificados e proteção contra agressões externas.Óleo de baobá: alta hidratação para os cabelos cacheados. Com propriedades anti-inflamatórias e anti-oxidantes, forma uma proteção natural em volta dos fios.
21311;Keune;Care Satin Oil Shampoo 1000ml;Satin Oil;367.19;Shampoo suave para cabelos secos, porosos e sem brilho que limpa e hidrata os fios, deixando-os aveludados.Adequado paraCabelos secos, porosos e sem brilho.;'8719281103592;"
Care Satin Oil Shampoo

Ideal para cabelos secos, porosos e sem brilho, o Care Satin Oil Shampoo limpa e confere maciez e luminosidade aos fios, hidratando-os e deixando-os aveludados. Sua fórmula, enriquecida com óleos especiais de monoi, baobá e maracujá, age de dentro para fora, refletindo o brilho de cabelo saudável.
Como usar: Aplique o shampoo no cabelo molhado e massageie o couro cabeludo suavemente com a ponta dos dedos até formar espuma. Enxágue bem. Se necessário, repita a lavagem.
Resultado: Cabelo com brilho evidente, sedoso e protegido do frizz.
";Aqua (Water), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Decyl Glucoside, PEG-200 Hydrogenated Glyceryl Palmate, Glycol Distearate, PEG-40 Hydrogenated Castor Oil, Glyceryl Laurate, Sodium Chloride, Cetrimonium Chloride, Sodium Benzoate, Citric Acid, PEG-7 Glyceryl Cocoate, Cocamide MEA, Propylene Glycol, Methoxy PEG/PPG-7/3 Aminopropyl Dimethicone, Polyquaternium-10, Panthenol, Laureth-2, Polyquaternium-7, Parfum (Fragrance), Laureth-10, Cocos Nucifera (Coconut) Oil, Formic Acid, Hydrolyzed Wheat Protein, Passiflora Incarnata (Seed) Oil, Saccharomyces/Magnesium Ferment, Gardenia Tahitensis Flower Extract, Adansonia Digitata (Seed) Oil, Saccharomyces/Iron Ferment, CI 19140 (Yellow 5), Saccharomyces/Zinc Ferment, Tocopherol, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment, CI 14700 (Red 4).;https://www.keune.com.br/produto/care-satin-oil-shampoo-1000ml-533;330.47;Cabelos opacos, Vegano;1000ml;Minerais essenciais: nutrem, mantêm a umidade e proporcionam brilho e flexibilidade.Óleo de maracujá: alta hidratação e reestruturação ao fio devido à presença do Ômega 6 (ácido linoleico) em sua composição.Óleo de manoi: rico em ácidos graxos, como Ômega 3 e 6, proporciona hidratação duradoura, reparação e reestruturação em cabelos secos e danificados e proteção contra agressões externas.Óleo de baobá: alta hidratação para os cabelos cacheados. Com propriedades anti-inflamatórias e anti-oxidantes, forma uma proteção natural em volta dos fios.
21314;Keune;Satin Oil Conditioner 1000ml;Satin Oil;406.56;Condicionador para cabelos secos e sem vida que trata e protege os fios de danos naturais e químicos.Adequado paraCondicionar suavemente cabelos secos, porosos e danificados.;'8719281103653;"
Care Satin Oil Conditioner

Fundamental para melhorar o aspecto dos fios capilares, o Care Saint Oil Conditioner trata e protege os cabelos da poluição, do sol, do vento e da química que, em excesso, prejudicam a saúde dos cabelos. O condicionador trata cabelos opacos e ressecados, deixando-os mais macios e brilhantes.
Como usar: Depois de lavar o cabelo com shampoo, aplique o condicionador no cabelo úmido, espalhe e deixe agir entre um e três minutos. Enxágue completamente.
Resultado: Cabelos saudáveis, macios e brilhantes.
";Aqua (Water), Cetearyl Alcohol, Decyl Oleate, Cetrimonium Chloride, Behentrimonium Chloride, Butyrospermum Parkii (Shea) Butter, Polyquaternium-37, Propylene Glycol Dicaprylate/Dicaprate, Sodium Benzoate, Propylene Glycol, Lactic Acid, Silicone Quaternium-22, Oleyl Erucate, Hydrolyzed Wheat Protein, Panthenol, Cocos Nucifera (Coconut) Oil, PPG-3 Myristyl Ether, Isopropyl Alcohol, Parfum (Fragrance), Polyquaternium-10, PPG-1 Trideceth-6, Passiflora Incarnata (Seed) Oil, Gardenia Tahitensis Flower Extract, Saccharomyces/Magnesium Ferment, CI 19140 (Yellow 5), Adansonia Digitata (Seed) Oil, Saccharomyces/Iron Ferment, Tocopherol, CI 14700 (Red 4), Saccharomyces/Zinc Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment.;https://www.keune.com.br/produto/satin-oil-conditioner-1000ml-534;365.9;Cabelos opacos, Vegano;1000ml;Minerais essenciais: nutrem, mantêm a umidade e proporcionam brilho e flexibilidade.Óleo de maracujá: alta hidratação e reestruturação ao fio devido à presença do Ômega 6 (ácido linoleico) em sua composição.Óleo de monoi: rico em ácidos graxos, como Ômega 3 e 6, proporciona hidratação duradoura, reparação e reestruturação em cabelos secos e danificados e proteção contra agressões externas.Óleo de baobá: alta hidratação para os cabelos cacheados. Com propriedades anti-inflamatórias e anti-oxidantes, forma uma proteção natural em volta dos fios.
21317;Keune;Care Satin Oil Mask 500ml;Satin Oil;524.67;Máscara de tratamento para cabelos sem brilho e ressecados que devolve saúde às fibras capilares.Adequado paraEquilibrar a umidade do cabelo seco, opaco e danificado.;'8719281103912;"
Care Satin Oil Mask

Um produto que trata profundamente cabelos sem brilho e ressecados, deixando-os mais saudáveis e brilhosos. Care Saint Oil Mask é uma máscara com alto poder de penetração nos fios que fortalece as fibras capilares e deixa os cabelos saudáveis, sedosos, macios e brilhantes - pode ser ainda mais potencializado com gotas do óleo da mesma linha.
Como usar: Depois de lavar, retire o excesso de água com uma toalha e aplique uma pequena quantidade da máscara nos fios úmidos, massageie suavemente e deixe agir por três minutos. Enxágue completamente.
Resultado: Cabelo com brilho, hidratado e irresistivelmente sedoso e macio.
";Aqua (Water), Cetearyl Alcohol, Behentrimonium Chloride, Stearamidopropyl Dimethylamine, Cetyl Esters, Glycerin, Helianthus Annuus Hybrid (Sunflower Seed) Oil, Hydrogenated Castor Oil/Sebacic Acid Copolymer, Quaternium-87, Isopropyl Alcohol, Propylene Glycol, Citric Acid, Candelilla Cera (Euphorbia Cerifera (Candelilla) Wax), Caprylyl Glycol, Panthenol, Sodium Benzoate, Cocos Nucifera (Coconut) Oil, Parfum (Fragrance), Passiflora Incarnata (Seed) Oil, Hydrolyzed Wheat Protein, Gardenia Tahitensis Flower Extract, Saccharomyces/Magnesium Ferment, CI 19140 (Yellow 5), Adansonia Digitata (Seed) Oil, Saccharomyces/Iron Ferment, Tocopherol, CI 14700 (Red 4), Saccharomyces/ Zinc Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment.;https://www.keune.com.br/produto/care-satin-oil-mask-500ml-101;445.97;Cabelos opacos, Vegano, Produtos Com 15% de Desconto;500ml;Minerais essenciais: nutrem, mantêm a umidade e proporcionam brilho e flexibilidade.Óleo de maracujá: alta hidratação e reestruturação ao fio devido à presença do Ômega 6 (ácido linoleico) em sua composição.Óleo de manoi: rico em ácidos graxos, como Ômega 3 e 6, proporciona hidratação duradoura, reparação e reestruturação em cabelos secos e danificados e proteção contra agressões externas.Óleo de baobá: alta hidratação para os cabelos cacheados. Com propriedades anti-inflamatórias e anti-oxidantes, forma uma proteção natural em volta dos fios.
MORENAILUMINADA-1;Keune;Nutrição com Proteção para Morenas Iluminadas;any;1111.5;Experimente o deslumbrante brilho e a beleza radiante dos cabelos morenos iluminados com o nosso exclusivo Kit Nutrição com Proteção para Morenas Iluminadas da Keune Haircosmetics. Projetado especialmente para as morenas que desejam realçar a luminosidade dos seus fios, este kit é uma jornada sensorial de cuidado capilar que eleva a experiência de cuidar dos cabelos a um novo patamar.O Kit contém: 1 un Shampoo Satin Oil 300ml + 1 un Cond Satin Oil 250ml + 1 un Mask Satin Oil 200ml+ 1 un Lumicoat Supreme Cream 95ml;'0;"Shampoo Satin Oil:
Comece sua jornada de cuidado capilar com nosso Shampoo Satin Oil. Enriquecido com óleos preciosos e ingredientes nutritivos, este shampoo luxuoso limpa suavemente os fios enquanto preserva a hidratação essencial. Sua fórmula única realça os tons das morenas iluminadas, deixando os cabelos com um brilho luminoso e natural.
Condicionador Satin Oil:
Prossiga com o Condicionador Satin Oil, que proporciona um tratamento indulgente aos seus fios. Sua fórmula rica e cremosa desembaraça e suaviza os cabelos, enquanto nutre profundamente e realça o contraste das cores. Os cabelos ficam incrivelmente macios, maleáveis e cheios de vida.
Máscara Satin Oil:
Mime seus cabelos com a Máscara Satin Oil. Esta máscara intensiva oferece um tratamento de restauração profunda que revitaliza os cabelos morenos iluminados. Suaviza a textura, melhora a elasticidade e confere um brilho intenso. Seus cabelos serão envolvidos em um véu de luxo, emanando luminosidade e vitalidade.
Lumicoat Supreme Cream:
O toque final perfeito para a sua rotina capilar. Nosso Lumicoat Supreme Cream é um leave-in enriquecido com ingredientes de alto desempenho que protegem, hidratam e realçam o brilho das morenas iluminadas. Além disso, ele ajuda a controlar o frizz e proporciona uma aparência sedosa e elegante.
Como usar: Aplique o Lumi Coat Supreme Cream no cabelo limpo e úmido, começando do meio da cabeça e descendo até as pontas. Use o secador para ativar a tecnologia Fiber Sealing ou difusor em cabelos cacheados.
Resultado: Cabelo saudável, 2x mais macio, 91% mais condicionado e com brilho intenso.
";Minerais essenciais: nutrem, mantêm a umidade e proporcionam brilho e flexibilidade.;https://www.keune.com.br/produto/nutricao-com-protecao-para-morenas-iluminadas-585;833.63;Brilho;any;Lumicoat Supreme Cream, Ingredientes da composição:Aqua, Dipropylene Glycol, Cetearyl Alcohol, Polyquaternium-37, Propylene Glycol Dicaprylate/Dicaprate, Polysilicone-29, PEG-40 Hydrogenated Castor Oil, Panthenol, Sodium Benzoate, Citric Acid, PPG-1 Trideceth-6, Parfum, Saccharomyces/Magnesium Ferment, Saccharomyces/Iron Ferment, Saccharomyces/Zinc Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment
21454;Keune;Care Confident Curl Low-Poo Shampoo 80ml;any;58.63;Shampoo Low-Poo para cabelos ondulados, cacheados e crespos com óleo de coco. Fios limpos, hidratados e sem frizz.Adequada para:Limpar delicadamente cabelos ondulados, cacheados e crespos.Liberado para técnica low-poo;'8719281109754;"
Care Confident Curl Low-Poo Shampoo 80ml

Shampoo Low-Poo para cabelos ondulados, cacheados e crespos, com fórmula livre de sulfato e enriquecida com Óleo de Coco e Extrato de Vinagre. Limpa delicadamente e hidrata o cabelo sem remover a sua oleosidade natural, garante menos frizz, um pH equilibrado e cutículas alinhadas.
Pronta para assumir a beleza dos seus cachos? O Shampoo Keune Care Confident Curl Low-Poo foi especialmente desenvolvido por nossos cientistas para atender às necessidades de todos os tipos de cabelos ondulados, cacheados e crespos. Sua fórmula é livre de sulfato, enriquecida com Óleo de Coco, que oferece ação calmante, hidratante e protege os fios enrolados da perda de proteína, e com Extrato de Vinagre, que regula o pH, alinha as cutículas, ajuda a diminuir o frizz e proporciona maior definição. Limpa delicadamente enquanto hidrata os fios sem remover a sua oleosidade natural, garantindo cachos definidos e saudáveis. Em sua versão Travel Size (80ml), o novo shampoo é perfeito para carregar com você em qualquer lugar e durante viagens. Ele pode ser encontrado também na versão Home Care (300ml) e Lavatório (1000ml). Confident Curl é a melhor opção para cuidar dos cabelos com curvatura. Experimente e dê ainda mais liberdade para os seus cachos!
Como usar: Aplique o shampoo no couro cabeludo úmido, massageie até formar espuma, distribua entre os fios, deixe agir por 2 minutos, enxágue completamente e repita se necessário.
Resultado: Cabelos delicadamente limpos, hidratados e livre de impurezas.

Liberado para técnica low-poo

";Ingredientes da composição:;https://www.keune.com.br/produto/care-confident-curl-low-poo-shampoo-80ml-626;49.84;Cabelos cacheados e ondulados, Produtos Com 15% de Desconto;any;" Óleo de coco: com propriedades hidratantes e calmantes, auxilia no tratamento e proteção do cachos;Extrato de vinagre: alinha as cutículas do fio, reduz o frizz e deixa as ondas e cachos mais definidos;Derivados do óleo de oliva: intensificam o brilho natural e o controle dos cachos,além de reduzir o frizz;"
21455;Keune;Care Confident Curl Low-Poo Shampoo 300ml;any;196.59;Shampoo Low-Poo para cabelos ondulados, cacheados e crespos com óleo de coco. Fios limpos, hidratados e sem frizz.Adequada para:Limpar delicadamente cabelos ondulados, cacheados e crespos.Liberado para técnica low-poo;'8719281109778;"
Care Confident Curl Low-Poo Shampoo 300ml

Shampoo Low-Poo para cabelos ondulados, cacheados e crespos, com fórmula livre de sulfato e enriquecida com Óleo de Coco e Extrato de Vinagre. Limpa delicadamente e hidrata o cabelo sem remover a sua oleosidade natural, garante menos frizz, um pH equilibrado e cutículas alinhadas.
Pronta para assumir a beleza dos seus cachos? O Shampoo Keune Care Confident Curl Low-Poo foi especialmente desenvolvido por nossos cientistas para atender às necessidades de todos os tipos de cabelos ondulados, cacheados e crespos. Sua fórmula é livre de sulfato, enriquecida com Óleo de Coco, que oferece ação calmante, hidratante e protege os fios enrolados da perda de proteína, e com Extrato de Vinagre, que regula o pH, alinha as cutículas, ajuda a diminuir o frizz e proporciona maior definição. Limpa delicadamente enquanto hidrata os fios sem remover a sua oleosidade natural, garantindo cachos definidos e saudáveis. Em sua versão Travel Size (80ml), o novo shampoo é perfeito para carregar com você em qualquer lugar e durante viagens. Ele pode ser encontrado também nas versões Home Care (300ml) e Lavatório (1L). Confident Curl é a melhor opção para cuidar dos cabelos com curvatura. Experimente e dê ainda mais liberdade para os seus cachos!
Como usar: Aplique o shampoo no couro cabeludo úmido, massageie até formar espuma, distribua entre os fios, deixe agir por 2 minutos, enxágue completamente e repita se necessário.
Resultado: Cabelos delicadamente limpos, hidratados e livre de impurezas.

Liberado para técnica low-poo

";Ingredientes da composição:;https://www.keune.com.br/produto/care-confident-curl-low-poo-shampoo-300ml-627;167.1;Cabelos cacheados e ondulados, Produtos Com 15% de Desconto;any;" Óleo de coco: com propriedades hidratantes e calmantes, auxilia no tratamento e proteção do cachos;Extrato de vinagre: alinha as cutículas do fio, reduz o frizz e deixa as ondas e cachos mais definidos;Derivados do óleo de oliva: intensificam o brilho natural e o controle dos cachos,além de reduzir o frizz;"
21456;Keune;Care Confident Curl Low-Poo Shampoo 1000ml;any;393.57;Shampoo Low-Poo para cabelos ondulados, cacheados e crespos com óleo de coco. Fios limpos, hidratados e sem frizz.Adequada para:Limpar delicadamente cabelos ondulados, cacheados e crespos.Liberado para técnica low-poo;'8719281109785;"
Care Confident Curl Low-Poo Shampoo 1000ml

Shampoo Low-Poo para cabelos ondulados, cacheados e crespos, com fórmula livre de sulfato e enriquecida com Óleo de Coco e Extrato de Vinagre. Limpa delicadamente e hidrata o cabelo sem remover a sua oleosidade natural, garante menos frizz, um pH equilibrado e cutículas alinhadas.
Pronta para assumir a beleza dos seus cachos? O Shampoo Keune Care Confident Curl Low-Poo foi especialmente desenvolvido por nossos cientistas para atender às necessidades de todos os tipos de cabelos ondulados, cacheados e crespos. Sua fórmula é livre de sulfato, enriquecida com Óleo de Coco, que oferece ação calmante, hidratante e protege os fios enrolados da perda de proteína, e com Extrato de Vinagre, que regula o pH, alinha as cutículas, ajuda a diminuir o frizz e proporciona maior definição. Limpa delicadamente enquanto hidrata os fios sem remover a sua oleosidade natural, garantindo cachos definidos e saudáveis. Em sua versão Travel Size (80ml), o novo shampoo é perfeito para carregar com você em qualquer lugar e durante viagens. Ele pode ser encontrado também na versão Home Care (300ml). Confident Curl é a melhor opção para cuidar dos cabelos com curvatura. Experimente e dê ainda mais liberdade para os seus cachos!
Como usar: Aplique o shampoo no couro cabeludo úmido, massageie até formar espuma, distribua entre os fios, deixe agir por 2 minutos, enxágue completamente e repita se necessário.
Resultado: Cabelos delicadamente limpos, hidratados e livre de impurezas.

Liberado para técnica low-poo

";Ingredientes da composição:;https://www.keune.com.br/produto/care-confident-curl-low-poo-shampoo-1000ml-628;354.21;Cabelos cacheados e ondulados;any;" Óleo de coco: com propriedades hidratantes e calmantes, auxilia no tratamento e proteção do cachos;Extrato de vinagre: alinha as cutículas do fio, reduz o frizz e deixa as ondas e cachos mais definidos;Derivados do óleo de oliva: intensificam o brilho natural e o controle dos cachos,além de reduzir o frizz;"
21457;Keune;Care Confident Curl Conditioner 80ml;any;58.63;Condicionador para cabelos ondulados, cacheados e crespos que hidrata profundamente, nutre e diminui o frizz.Adequado para:Condicionar e melhorar a penteabilidade de cabelos ondulados, cacheados e crespos.;'8719281109761;"Care Confident Curl Conditioner 80ml
Condicionador para cabelos ondulados, cacheados e crespos que hidrata profundamente, nutre o cabelo da raiz às pontas, diminui o frizz e facilita o desembaraçar. Contém Manteiga de Karité, Óleo de Coco e Extrato de Vinagre que deixam o cabelo mais nutrido, luminoso e com definição.
O Condicionador Keune Care Confident Curl foi especialmente desenvolvido para cabelos ondulados, cacheados e crespos. Sua fórmula é enriquecida com Manteiga de Karité, conhecida por suas propriedades super hidratantes, protetoras e que alinham as cutículas do fio, com Óleo de Coco, que é calmante, hidratante e protege os fios enrolados da perda de proteína e com Extrato de Vinagre, que regula o pH, alinha as cutículas, ajuda a diminuir o frizz e proporciona mais definição. O resultado final é surpreendente: cachos profundamente hidratados, nutridos da raiz às pontas, mais luminosos e macios, com melhor penteabilidade e até 73% mais condicionados (comprovado em teste de laboratório após a aplicação de Confident Curl Shampoo + Conditioner). Disponível nas versões Travel Size (80ml), Home Care (250ml) e Lavatório (1L). Experimente e dê ainda mais liberdade para os seus cachos!
Como usar: Depois de lavar com shampoo, espalhe o condicionador no comprimento e pontas do cabelo. Deixe agir por 3 minutos e enxágue.
Resultado:Cabelos mais condicionados, com melhor penteabilidade e cachos mais definidos.
";Ingredientes da composição: Aqua, Cetearyl Alcohol, Behenamidopropyl Dimethylamine, Decyl Oleate, Hydrogenated Ethylhexyl Olivate, Adansonia Digitata Seed Oil, Butyrospermum Parkii (Shea) Butter, Cocos Nucifera (Coconut) Oil, Dicocoylethyl Hydroxyethylmonium Methosulfate, Lactic Acid, Panthenol, Sodium Benzoate, Hydroxypropyltrimonium Inulin, Oleyl Erucate, Parfum, Polyquaternium-37, Sunflower Seed Oil Glycerides, Acetum, Dipropylene Glycol, Hydrogenated Olive Oil Unsaponifiables, Hydrolyzed Rice Protein, Phenoxyethanol, Ppg-1 Trideceth-6, Propylene Glycol, Propylene Glycol Dicaprylate/Dicaprate, Pyrus Malus (Apple) Fruit Extract, Saccharomyces/Copper Ferment, Saccharomyces/Iron Ferment, Saccharomyces/Magnesium Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Tocopheryl Acetate.;https://www.keune.com.br/produto/care-confident-curl-conditioner-80ml-629;49.84;Cabelos cacheados e ondulados, Produtos Com 15% de Desconto;any;"Manteiga de Karité: oferece alta hidratação e alinhamento da cutícula do fio, proporcionando brilho e maciez;Óleo de coco: com propriedades hidratantes e calmantes, auxilia no tratamento e proteção do cachos;Extrato de vinagre: alinha as cutículas do fio, reduz o frizz e deixa as ondas e cachos mais definidos;Derivados do óleo de oliva: intensificam o brilho natural e o controle dos cachos,além de reduzir o frizz;"
21458;Keune;Care Confident Curl Conditioner 250ml;any;216.27;Condicionador para cabelos ondulados, cacheados e crespos que hidrata profundamente, nutre e diminui o frizz.Adequado para:Condicionar e melhorar a penteabilidade de cabelos ondulados, cacheados e crespos.;'8719281109792;"Care Confident Curl Conditioner 250ml
Condicionador para cabelos ondulados, cacheados e crespos que hidrata profundamente, nutre o cabelo da raiz às pontas, diminui o frizz e facilita o desembaraçar. Contém Manteiga de Karité, Óleo de Coco e Extrato de Vinagre que deixam o cabelo mais nutrido, luminoso e com definição.
O Condicionador Keune Care Confident Curl foi especialmente desenvolvido para cabelos ondulados, cacheados e crespos. Sua fórmula é enriquecida com Manteiga de Karité, conhecida por suas propriedades super hidratantes, protetoras e que alinham as cutículas do fio, com Óleo de Coco, que é calmante, hidratante e protege os fios enrolados da perda de proteína e com Extrato de Vinagre, que regula o pH, alinha as cutículas, ajuda a diminuir o frizz e proporciona mais definição. O resultado final é surpreendente: cachos profundamente hidratados, nutridos da raiz às pontas, mais luminosos e macios, com melhor penteabilidade e até 73% mais condicionados (comprovado em teste de laboratório após a aplicação de Confident Curl Shampoo + Conditioner). Disponível nas versões Travel Size (80ml), Home Care (250ml) e Lavatório (1L). Experimente e dê ainda mais liberdade para os seus cachos!
Como usar: Depois de lavar com shampoo, espalhe o condicionador no comprimento e pontas do cabelo. Deixe agir por 3 minutos e enxágue.
Resultado:Cabelos mais condicionados, com melhor penteabilidade e cachos mais definidos.
";Ingredientes da composição: Aqua, Cetearyl Alcohol, Behenamidopropyl Dimethylamine, Decyl Oleate, Hydrogenated Ethylhexyl Olivate, Adansonia Digitata Seed Oil, Butyrospermum Parkii (Shea) Butter, Cocos Nucifera (Coconut) Oil, Dicocoylethyl Hydroxyethylmonium Methosulfate, Lactic Acid, Panthenol, Sodium Benzoate, Hydroxypropyltrimonium Inulin, Oleyl Erucate, Parfum, Polyquaternium-37, Sunflower Seed Oil Glycerides, Acetum, Dipropylene Glycol, Hydrogenated Olive Oil Unsaponifiables, Hydrolyzed Rice Protein, Phenoxyethanol, Ppg-1 Trideceth-6, Propylene Glycol, Propylene Glycol Dicaprylate/Dicaprate, Pyrus Malus (Apple) Fruit Extract, Saccharomyces/Copper Ferment, Saccharomyces/Iron Ferment, Saccharomyces/Magnesium Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Tocopheryl Acetate.;https://www.keune.com.br/produto/care-confident-curl-conditioner-250ml-630;183.83;Cabelos cacheados e ondulados, Produtos Com 15% de Desconto;any;"Manteiga de Karité: oferece alta hidratação e alinhamento da cutícula do fio, proporcionando brilho e maciez;Óleo de coco: com propriedades hidratantes e calmantes, auxilia no tratamento e proteção do cachos;Extrato de vinagre: alinha as cutículas do fio, reduz o frizz e deixa as ondas e cachos mais definidos;Derivados do óleo de oliva: intensificam o brilho natural e o controle dos cachos,além de reduzir o frizz;"
21459;Keune;Care Confident Curl Conditioner 1000ml;any;459.06;Condicionador para cabelos ondulados, cacheados e crespos que hidrata profundamente, nutre e diminui o frizz.Adequado para:Condicionar e melhorar a penteabilidade de cabelos ondulados, cacheados e crespos.;'8719281109808;"Care Confident Curl Conditioner 1000ml
Condicionador para cabelos ondulados, cacheados e crespos que hidrata profundamente, nutre o cabelo da raiz às pontas, diminui o frizz e facilita o desembaraçar. Contém Manteiga de Karité, Óleo de Coco e Extrato de Vinagre que deixam o cabelo mais nutrido, luminoso e com definição.
O Condicionador Keune Care Confident Curl foi especialmente desenvolvido para cabelos ondulados, cacheados e crespos. Sua fórmula é enriquecida com Manteiga de Karité, conhecida por suas propriedades super hidratantes, protetoras e que alinham as cutículas do fio, com Óleo de Coco, que é calmante, hidratante e protege os fios enrolados da perda de proteína e com Extrato de Vinagre, que regula o pH, alinha as cutículas, ajuda a diminuir o frizz e proporciona mais definição. O resultado final é surpreendente: cachos profundamente hidratados, nutridos da raiz às pontas, mais luminosos e macios, com melhor penteabilidade e até 73% mais condicionados (comprovado em teste de laboratório após a aplicação de Confident Curl Shampoo + Conditioner). Disponível nas versões Travel Size (80ml), Home Care (250ml) e Lavatório (1L). Experimente e dê ainda mais liberdade para os seus cachos!
Como usar: Depois de lavar com shampoo, espalhe o condicionador no comprimento e pontas do cabelo. Deixe agir por 3 minutos e enxágue.
Resultado:Cabelos mais condicionados, com melhor penteabilidade e cachos mais definidos.
";Ingredientes da composição: Aqua, Cetearyl Alcohol, Behenamidopropyl Dimethylamine, Decyl Oleate, Hydrogenated Ethylhexyl Olivate, Adansonia Digitata Seed Oil, Butyrospermum Parkii (Shea) Butter, Cocos Nucifera (Coconut) Oil, Dicocoylethyl Hydroxyethylmonium Methosulfate, Lactic Acid, Panthenol, Sodium Benzoate, Hydroxypropyltrimonium Inulin, Oleyl Erucate, Parfum, Polyquaternium-37, Sunflower Seed Oil Glycerides, Acetum, Dipropylene Glycol, Hydrogenated Olive Oil Unsaponifiables, Hydrolyzed Rice Protein, Phenoxyethanol, Ppg-1 Trideceth-6, Propylene Glycol, Propylene Glycol Dicaprylate/Dicaprate, Pyrus Malus (Apple) Fruit Extract, Saccharomyces/Copper Ferment, Saccharomyces/Iron Ferment, Saccharomyces/Magnesium Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Tocopheryl Acetate.;https://www.keune.com.br/produto/care-confident-curl-conditioner-1000ml-631;413.15;Cabelos cacheados e ondulados;any;"Manteiga de Karité: oferece alta hidratação e alinhamento da cutícula do fio, proporcionando brilho e maciez;Óleo de coco: com propriedades hidratantes e calmantes, auxilia no tratamento e proteção do cachos;Extrato de vinagre: alinha as cutículas do fio, reduz o frizz e deixa as ondas e cachos mais definidos;Derivados do óleo de oliva: intensificam o brilho natural e o controle dos cachos,além de reduzir o frizz;"
